;Area;Year;Average dietary energy supply adequacy (percent) (3-year average);Average fat supply (g/cap/day) (3-year average);Average protein supply (g/cap/day) (3-year average);Average supply of protein of animal origin (g/cap/day) (3-year average);Cereal import dependency ratio (percent) (3-year average);Coefficient of variation of habitual caloric consumption distribution (real number);Gross domestic product per capita, PPP, (constant 2017 international $);Incidence of caloric losses at retail distribution level (percent);Minimum dietary energy requirement  (kcal/cap/day);Per capita food production variability (constant 2014-2016 thousand int$ per capita);Per capita food supply variability (kcal/cap/day);Percentage of population using at least basic drinking water services (percent);Percentage of population using at least basic sanitation services (percent);Percentage of population using safely managed drinking water services (percent);Percentage of population using safely managed sanitation services (percent);Rail lines density (total route in km per 100 square km of land area);Share of dietary energy supply derived from cereals, roots and tubers (percent) (3-year average);Value of food imports in total merchandise exports (percent) (3-year average)
995;Singapore;2022;;;;;;0.11;;3.02;1904;;;;;;;;;
996;Slovakia;2017;111;127.6;68.3;36.3;-107.9;0.2;30061.6;1.67;1949;38.1;56;99;97.5;99;82.1;7.4;32;5
997;Slovakia;2018;113;133.8;68.7;37.3;-85.5;0.2;31229.9;1.67;1947;31.5;55;99;97.5;99;82;7.4;30;5
998;Slovakia;2019;115;141.1;69;38;-74.7;0.2;31973.5;1.67;1944;30.4;48;99;97.5;99;81.9;7.4;30;5
999;Slovakia;2020;118;146.1;70.3;38.3;-49.8;0.21;30868;1.67;1944;25.7;73;99;97.5;99;81.9;7.4;31;5
1000;Slovakia;2021;120;;;;;0.21;31866;1.67;1943;;47;;;;;;;5
1001;Slovakia;2022;119;;;;;0.21;;1.67;1947;;;;;;;;;
1002;Slovenia;2017;128;113.9;97.3;52.3;28.5;0.2;36507.6;2.16;1916;26.5;18;99;98.1;98.3;68.1;5.9;40;6
1003;Slovenia;2018;128;114.8;96.7;51.7;29.3;0.2;37995.7;2.16;1915;23.4;18;99;98.1;98.3;69.2;5.9;40;6
1004;Slovenia;2019;128;114.7;96.7;52.3;28.1;0.2;39034.2;2.16;1915;10.9;18;99;98.1;98.3;70.4;5.9;39;6
1005;Slovenia;2020;127;115.1;97.3;52.3;21.6;0.2;37098.1;2.16;1916;9.6;16;99;98.1;98.3;71.5;5.9;40;6
1006;Slovenia;2021;126;;;;;0.21;40036.5;2.16;1917;;18;;;;;;;6
1007;Slovenia;2022;126;;;;;0.21;;2.16;1917;;;;;;;;;
1008;Solomon Islands;2017;105;47.8;54.3;15.7;;0.29;2625.1;2.02;1699;7.6;19;67.8;33.5;;;;69;25
1009;Solomon Islands;2018;106;49.6;53.3;15.3;;0.29;2633.3;2.02;1701;6.2;30;67;34.2;;;;68;24
1010;Solomon Islands;2019;107;53.5;52;15;;0.29;2616.9;2.02;1702;5.7;31;67.2;34.5;;;;66;24
1011;Solomon Islands;2020;107;56.4;50.6;15;;0.29;2469.1;2.02;1706;5;25;67.3;34.8;;;;64;24
1012;Solomon Islands;2021;107;;;;;0.29;2406.1;2.02;1707;;14;;;;;;;24
1013;Solomon Islands;2022;108;;;;;0.29;;2.02;1709;;;;;;;;;
1014;Somalia;2017;79;;;;;0.3;1059.1;1.51;1699;10.7;27;51.8;36.1;;28.8;;;278
1015;Somalia;2018;79;;;;;0.3;1098.5;1.51;1701;9.1;27;53.4;37.2;;29.7;;;318
1016;Somalia;2019;81;;;;;0.3;1138.3;1.51;1702;2.6;32;54.9;38.2;;30.6;;;387
1017;Somalia;2020;82;;;;;0.34;1127.4;1.51;1703;3.3;15;56.5;39.3;;31.5;;;433
1018;Somalia;2021;84;;;;;0.34;1136.7;1.51;1704;;18;;;;;;;472
1019;Somalia;2022;85;;;;;0.34;;1.51;1706;;;;;;;;;
1020;South Africa;2017;119;87.9;80.3;36.3;17.9;0.25;13950.5;2.72;1827;16.9;20;92.7;75.8;;;1.7;52;6
1021;South Africa;2018;120;88.2;80;35.7;15.2;0.25;13990.3;2.72;1828;17;25;93.1;76.7;;;1.7;52;6
1022;South Africa;2019;121;89.2;79.7;35.7;9;0.25;13852.2;2.72;1829;16.7;33;93.5;77.6;;;1.7;52;6
1023;South Africa;2020;120;90.7;79.7;36;7.8;0.26;12815.9;2.72;1830;12.2;34;93.9;78.5;;;1.7;51;6
1024;South Africa;2021;119;;;;;0.26;13311.9;2.72;1832;;22;;;;;;;5
1025;South Africa;2022;117;;;;;0.26;;2.72;1834;;;;;;;;;
1026;South Sudan;2017;;;;;;0.3;;3.02;1691;3.8;;41.1;13.2;;;;;16
1027;South Sudan;2018;;;;;;0.3;;3.02;1690;3.5;;41;14.5;;;;;22
1028;South Sudan;2019;35;;21.2;9.6;;0.29;;3.02;1699;2.2;;40.8;15.7;;;;;23
1029;South Sudan;2020;72;;42.8;18.7;;0.29;;3.02;1711;3.5;;41;15.8;;;;;28
1030;South Sudan;2021;107;;;;;0.29;;3.02;1721;;;;;;;;;40
1031;South Sudan;2022;106;;;;;0.29;;3.02;1730;;;;;;;;;
1032;Spain;2017;131;149.8;106.3;66;38.6;0.21;39528.9;2.1;1921;76.5;31;99;99;99;95.7;3.1;27;8
1033;Spain;2018;133;151.6;107.7;66.7;38.1;0.21;40255.3;2.1;1921;47;36;99;99;99;95.7;3.1;27;8
1034;Spain;2019;134;152.7;109;68.3;41.9;0.21;40760.3;2.1;1922;59.7;44;99;99;99;95.7;3.1;27;8
1035;Spain;2020;135;153.6;110.3;69.7;36.4;0.21;35967.9;2.1;1924;64.6;33;99;99;99;95.7;3.1;27;8
1036;Spain;2021;134;;;;;0.21;37913.1;2.1;1926;;25;;;;;;;8
1037;Spain;2022;134;;;;;0.21;;2.1;1926;;;;;;;;;
1038;Sri Lanka;2017;110;49.2;66.3;18;29.6;0.22;13584.2;2.05;1783;10;29;91.5;92.7;;;2.4;58;19
1039;Sri Lanka;2018;111;50.1;67;18;32;0.22;13753.1;2.05;1784;23.6;23;92.2;93.7;;;2.4;58;18
1040;Sri Lanka;2019;113;51.1;67.7;18;32.4;0.23;13639;2.05;1786;21.6;17;92.2;93.7;;;2.4;58;17
1041;Sri Lanka;2020;114;52.2;68.3;18.3;20.9;0.23;13095.8;2.05;1788;21.7;5;92.2;93.7;;;;58;17
1042;Sri Lanka;2021;116;;;;;0.23;13386.7;2.05;1789;;9;;;;;;;18
1043;Sri Lanka;2022;117;;;;;0.23;;2.05;1791;;;;;;;;;
1044;Sudan;2017;119;65.2;73.7;20.7;29.3;0.27;4614;4.04;1721;23.3;37;60.3;36.6;;;;53;72
1045;Sudan;2018;118;66.2;74;20.3;22.8;0.27;4349.2;4.04;1722;24.7;63;60.3;36.7;;;0.1;54;79
1046;Sudan;2019;117;66.9;74.7;19.7;25.9;0.28;4133.1;4.04;1723;25.6;58;60.4;36.8;;;0.1;54;58
1047;Sudan;2020;118;70.1;74.7;19.3;33.5;0.28;3874.8;4.04;1724;20.9;42;60.4;36.9;;;0.1;53;62
1048;Sudan;2021;118;;;;;0.29;3701.1;4.04;1726;;30;;;;;;;55
1049;Sudan;2022;119;;;;;0.29;;4.04;1728;;;;;;;;;
1050;Suriname;2017;110;78.4;61;25.7;-11.5;0.24;17753.1;2.34;1849;8.6;32;96.6;87.9;55.1;26.1;;44;11
1051;Suriname;2018;110;77.2;62;26.3;-17.5;0.24;18438.3;2.34;1848;8.3;37;97.1;88.5;55.3;25.7;;44;9
1052;Suriname;2019;111;77.3;64;28.4;-20.1;0.24;18449.2;2.34;1850;8.3;30;97.5;89.2;55.5;25.4;;44;8
1053;Suriname;2020;111;77.3;66;30.3;-27;0.24;15329.2;2.34;1851;6.9;26;98;90;55.8;25.2;;44;8
1054;Suriname;2021;111;;;;;0.24;14766.7;2.34;1850;;28;;;;;;;8
1055;Suriname;2022;112;;;;;0.24;;2.34;1847;;;;;;;;;
1056;Sweden;2017;127;136.5;106.3;69.3;-30.8;0.2;51948;1.95;1940;17.8;19;99;99;99;94.8;1.8;28;7
1057;Sweden;2018;126;135.3;105.7;67.7;-24.6;0.2;52349.3;1.95;1940;15.1;24;99;99;99;94.9;1.8;29;7
1058;Sweden;2019;126;133.2;107;68;-14.1;0.2;52850.6;1.95;1941;37;37;99;99;99;94.9;1.8;30;7
1059;Sweden;2020;127;133;108;68.7;-18.6;0.21;51331.3;1.95;1942;36.5;27;99;99;99;94.9;1.8;30;7
1060;Sweden;2021;129;;;;;0.2;53613.4;1.95;1943;;35;;;;;;;7
1061;Sweden;2022;129;;;;;0.21;;1.95;1944;;;;;;;;;
1062;Switzerland;2017;132;156.4;96.3;61;56.4;0.2;69103.6;1.83;1962;10.4;20;99;99;94.2;99;9.8;24;3
1063;Switzerland;2018;132;156;96.3;60.7;56.4;0.2;70558.6;1.83;1961;9.8;19;99;99;94.2;99;9.8;25;3
1064;Switzerland;2019;132;157;96.3;60;53.8;0.2;70857.1;1.83;1960;11.3;20;99;99;94.2;99;8.8;25;3
1065;Switzerland;2020;133;158.8;96.7;60.3;52.7;0.2;68670.2;1.83;1959;9.3;24;99;99;94.2;99;8.9;25;3
1066;Switzerland;2021;134;;;;;0.2;71032.8;1.83;1958;;29;;;;;;;3
1067;Switzerland;2022;134;;;;;0.2;;1.83;1957;;;;;;;;;
1068;Syrian Arab Republic;2017;121;102.1;70.3;20.7;28.8;0.33;;3.01;1774;30.8;21;93.8;90;;;;44;106
1069;Syrian Arab Republic;2018;116;100.2;69.7;20.3;43;0.34;;3.01;1789;33.3;20;93.9;89.9;;;;44;92
1070;Syrian Arab Republic;2019;112;97.4;71.4;20;37.3;0.35;;3.01;1804;32.7;25;93.9;89.8;;;;46;84
1071;Syrian Arab Republic;2020;108;94.5;76.1;20.3;29.2;0.35;;3.01;1816;14.2;24;93.9;89.7;;;;49;96
1072;Syrian Arab Republic;2021;106;;;;;0.35;;3.01;1825;;12;;;;;;;127
1073;Syrian Arab Republic;2022;103;;;;;0.35;;3.01;1834;;;;;;;;;
1074;Tajikistan;2017;111;70.7;71.4;21.7;45.4;0.28;3236.4;2.4;1770;36.6;18;79;96.1;53.6;;0.4;57;60
1075;Tajikistan;2018;114;74.4;74.7;24;47.7;0.29;3405.1;2.4;1771;36.4;23;80.4;96.4;54.4;;0.4;55;53
1076;Tajikistan;2019;118;78.6;78.1;26;48.4;0.28;3575.3;2.4;1772;36.1;32;81.8;96.8;55.2;;0.4;53;51
1077;Tajikistan;2020;120;80.4;80.3;27;50.4;0.3;3651.9;2.4;1774;15.1;41;81.9;96.8;55.2;;0.5;53;52
1078;Tajikistan;2021;121;;;;;0.29;3903.3;2.4;1776;;33;;;;;;;50
1079;Tajikistan;2022;121;;;;;0.28;;2.4;1779;;;;;;;;;
1080;Thailand;2017;113;65.4;61.3;26;-58;0.23;17008;1.91;1885;26.2;16;99;97.8;;24.9;0.8;47;4
1081;Thailand;2018;113;66.4;61.7;26.7;-62.2;0.23;17669;1.91;1884;19.7;18;99;98.1;;25.3;;47;3
1082;Thailand;2019;114;67.4;62;26.7;-59.4;0.23;18003.7;1.91;1884;17.7;18;99;98.4;;25.6;;47;3
1083;Thailand;2020;115;67.3;63;26.3;-36.5;0.23;16848.6;1.91;1883;17.2;16;99;98.7;;25.9;;49;4
1084;Thailand;2021;117;;;;;0.24;17077;1.91;1883;;18;;;;;;;4
1085;Thailand;2022;118;;;;;0.24;;1.91;1882;;;;;;;;;
1086;Timor-Leste;2017;100;51.2;57.7;16.3;28.6;0.31;3138.4;2.15;1709;5.4;17;79.8;53.5;;;;67;360
1087;Timor-Leste;2018;101;52.4;54.6;14.3;37.2;0.31;3070.8;2.15;1715;5.2;12;82.1;54.6;;;;66;360
1088;Timor-Leste;2019;102;54.8;51.6;12.6;41.8;0.31;3737.8;2.15;1719;5.2;16;83.8;55.7;;;;64;189
1089;Timor-Leste;2020;103;56.9;49;10.7;;0.31;4856.5;2.15;1723;5.9;16;85.5;56.8;;;;63;104
1090;Timor-Leste;2021;103;;;;;0.31;5032.4;2.15;1729;;16;;;;;;;48
1091;Timor-Leste;2022;105;;;;;0.31;;2.15;1732;;;;;;;;;
1092;Togo;2017;107;51.4;56;9.3;18.7;0.3;1972.7;2.29;1742;6.5;43;66;17.3;18.2;8.7;;71;22
1093;Togo;2018;107;52.2;56.3;9.3;19.5;0.3;2021;2.29;1745;4.1;48;67.2;17.9;18.8;8.9;;71;23
1094;Togo;2019;107;56.8;56.7;9.3;19.8;0.3;2080.5;2.29;1747;4;47;68.4;18.5;19.4;9.1;;70;26
1095;Togo;2020;109;61.1;56.7;9;21.2;0.31;2067;2.29;1749;4.3;26;68.6;18.6;19.6;9.1;;69;29
1096;Togo;2021;111;;;;;0.32;2124.8;2.29;1752;;42;;;;;;;31
1097;Togo;2022;112;;;;;0.32;;2.29;1755;;;;;;;;;
1098;Tokelau;2017;;;;;;;;3.02;;40.6;;99;96.7;;;;;
1099;Tokelau;2018;;;;;;;;3.02;;42.9;;99;96.8;;;;;
1100;Tokelau;2019;;;;;;;;3.02;;34.8;;99;96.8;;;;;
1101;Tokelau;2020;;;;;;;;3.02;;27.4;;99;96.8;;;;;
1102;Tokelau;2021;;;;;;;;3.02;;;;;;;;;;
1103;Tokelau;2022;;;;;;;;3.02;;;;;;;;;;
1104;Tonga;2017;;;;;;0.11;6257;3.02;1922;44.5;;98.6;93.2;29.5;34.7;;;266
1105;Tonga;2018;;;;;;0.11;6287.9;3.02;1894;37.7;;98.7;93.1;29.5;34.4;;;310
1106;Tonga;2019;;;;;;0.11;6344.3;3.02;1894;20.9;;98.7;93;29.5;34.1;;;332
1107;Tonga;2020;;;;;;0.11;6357;3.02;1894;16.4;;98.7;92.9;29.5;33.8;;;365
1108;Tonga;2021;;;;;;0.11;6142.9;3.02;1899;;;;;;;;;366
1109;Tonga;2022;;;;;;0.11;;3.02;1899;;;;;;;;;
1110;Trinidad and Tobago;2017;113;88.6;85.3;43.7;100;0.27;26213.9;2.86;1877;8.5;8;98.9;93.8;;;;39;10
1111;Trinidad and Tobago;2018;112;89.2;85;43.7;100;0.27;25534.8;2.86;1879;9.9;8;98.9;93.9;;;;39;9
1112;Trinidad and Tobago;2019;111;88.8;85;44;100;0.27;25306.6;2.86;1881;11.3;17;98.9;93.9;;;;39;9
1113;Trinidad and Tobago;2020;111;88.8;84.7;43.7;100;0.27;23391.3;2.86;1880;11.5;26;98.9;93.9;;;;39;11
1114;Trinidad and Tobago;2021;111;;;;;0.27;23037.1;2.86;1880;;24;;;;;;;12
1115;Trinidad and Tobago;2022;113;;;;;0.27;;2.86;1880;;;;;;;;;
1116;Tunisia;2017;142;96.1;100;28.3;71.5;0.29;10874.9;1.99;1816;49.2;13;96;94.3;78.6;77.3;1.3;50;14
1117;Tunisia;2018;143;97.7;99.7;28;70.1;0.29;11043;1.99;1814;53.4;14;96.5;95.3;78.8;78.5;1.1;50;13
1118;Tunisia;2019;145;100.8;99.7;28;63.4;0.29;11100.8;1.99;1814;58;14;97;96.4;79.1;79.6;1.1;49;13
1119;Tunisia;2020;147;102;99.7;28;65.4;0.31;10050;1.99;1814;54.6;19;97.5;97.4;79.3;80.8;1.1;49;13
1120;Tunisia;2021;148;;;;;0.32;10397.9;1.99;1815;;21;;;;;;;14
1121;Tunisia;2022;148;;;;;0.31;;1.99;1816;;;;;;;;;
1122;Turkmenistan;2017;119;81.3;90.3;36.7;6.7;0.24;13703.5;2.59;1786;4.5;38;99;98.2;93.7;;1.6;58;7
1123;Turkmenistan;2018;119;79.4;90;36.7;12.3;0.24;14321.1;2.59;1785;13.5;33;99;98.6;94.8;;1.6;58;6
1124;Turkmenistan;2019;119;76.6;89.7;36;15.2;0.24;14992.6;2.59;1785;13.2;7;99;99;94.8;;;58;5
1125;Turkmenistan;2020;119;74.9;89.3;35.3;15.1;0.24;;2.59;1786;25.5;12;99;99;94.8;;;58;5
1126;Turkmenistan;2021;119;;;;;0.24;;2.59;1788;;11;;;;;;;5
1127;Turkmenistan;2022;119;;;;;0.24;;2.59;1791;;;;;;;;;
1128;Tuvalu;2017;;;;;;;4208.9;3.02;;0.8;;99;83.7;;6.1;;;16
1129;Tuvalu;2018;;;;;;;4268.2;3.02;;0.6;;99;83.7;;6.1;;;28
1130;Tuvalu;2019;;;;;;;4816.6;3.02;;0.9;;99;;;;;;163
1131;Tuvalu;2020;;;;;;;4839.6;3.02;;3.3;;99;;;;;;5178
1132;Tuvalu;2021;;;;;;;4924;3.02;;;;;;;;;;5735
1133;Tuvalu;2022;;;;;;;;3.02;;;;;;;;;;
1134;Türkiye;2017;154;121.3;109.3;36.7;0;0.22;27582.8;2.85;1859;23.7;33;96.6;97.6;;76.5;1.3;45;6
1135;Türkiye;2018;155;122.8;109.3;37.7;0.8;0.22;28158;2.85;1859;19.1;28;96.7;98.1;;77.7;1.3;45;6
1136;Türkiye;2019;157;125.1;110;38.3;8;0.22;28150.1;2.85;1860;11.5;29;96.9;98.7;;78.1;1.3;44;6
1137;Türkiye;2020;158;125.9;110.7;39;11.3;0.23;28473.2;2.85;1860;11.8;28;97;99;;78.4;1.3;44;6
1138;Türkiye;2021;159;;;;;0.25;31466.6;2.85;1862;;34;;;;;;;7
1139;Türkiye;2022;159;;;;;0.24;;2.85;1863;;;;;;;;;
1140;Uganda;2017;96;46.7;48.6;11;5.1;0.35;2128.4;1.19;1699;9.9;91;51;19.4;13.9;;;46;27
1141;Uganda;2018;96;46.5;47.3;10.7;5.4;0.36;2186.9;1.19;1704;8.7;92;52.6;19.5;14.8;;;46;26
1142;Uganda;2019;98;44.8;44.9;10.7;8.4;0.36;2250;2.5;1708;9.9;72;54.2;19.7;15.7;;;44;24
1143;Uganda;2020;100;44;46;11;8.9;0.36;2240.5;3;1712;9.6;67;55.9;19.8;16.6;;;43;22
1144;Uganda;2021;101;;;;;0.36;2246.4;2;1716;;83;;;;;;;21
1145;Uganda;2022;101;;;;;0.39;;1.2;1719;;;;;;;;;
1146;Ukraine;2017;123;80;87.3;37;-206.4;0.21;11860.6;2.29;1910;43.6;21;93.8;97.7;88.9;69.7;3.6;49;7
1147;Ukraine;2018;122;82.4;87.7;38.3;-201.2;0.21;12336.9;2.29;1912;46.4;20;93.9;97.7;88.9;72;3.6;48;7
1148;Ukraine;2019;120;84.8;87.7;40.7;-242.8;0.21;12805;2.29;1913;32.9;15;93.9;97.7;89;72;3.6;46;8
1149;Ukraine;2020;119;85.9;87.7;42.3;-334.7;0.23;12407.8;2.29;1914;27.8;7;93.9;97.7;89;72;3.6;45;8
1150;Ukraine;2021;118;;;;;0.23;12943.6;2.29;1916;;11;;;;;;;8
1151;Ukraine;2022;118;;;;;0.23;;2.29;1912;;;;;;;;;
1152;United Arab Emirates;2017;119;109.3;81.7;33.3;92.9;0.23;71182.4;3;2050;27.8;54;99;98.9;;95.9;;39;5
1153;United Arab Emirates;2018;120;112.2;82;34.3;97.9;0.23;71550.6;3;2048;19.2;57;99;99;;97.9;0.3;38;5
1154;United Arab Emirates;2019;122;119;82;35;100;0.23;71782.2;3;2044;8;46;99;99;;99;0.3;37;5
1155;United Arab Emirates;2020;123;124.2;82.7;36;100;0.23;67668.3;3;2042;14;35;99;99;;99;0.3;37;5
1156;United Arab Emirates;2021;126;;;;;0.23;69733.8;3;2040;;43;;;;;;;4
1157;United Arab Emirates;2022;131;;;;;0.23;;3;2040;;;;;;;;;
1158;United Kingdom of Great Britain and Northern Ireland;2017;136;139.1;104;58.7;3.8;0.2;46372.4;2.19;1911;16.7;29;99;99;99;98.1;6.7;33;11
1159;United Kingdom of Great Britain and Northern Ireland;2018;135;138.9;104.3;58.7;8.5;0.2;46878.1;2.19;1911;13.6;18;99;99;99;98.1;6.7;33;11
1160;United Kingdom of Great Britain and Northern Ireland;2019;135;141.3;103.3;58.3;12.1;0.2;47362.3;2.19;1912;8.7;22;99;99;99;98.1;6.7;33;11
1161;United Kingdom of Great Britain and Northern Ireland;2020;135;143;103.7;58;15.1;0.2;41984.1;2.19;1913;8.8;24;99;99;99;98.1;6.7;33;12
1162;United Kingdom of Great Britain and Northern Ireland;2021;137;;;;;0.21;44978.7;2.19;1914;;23;;;;;;;12
1163;United Kingdom of Great Britain and Northern Ireland;2022;138;;;;;0.21;;2.19;1916;;;;;;;;;
1164;United Republic of Tanzania;2017;111;55.5;60;11;6.6;0.35;2458.3;1.75;1671;11.9;9;56.7;28.6;;24.1;0.3;55;16
1165;United Republic of Tanzania;2018;111;54.6;60;11;3.6;0.36;2511;1.75;1674;16.5;15;58.5;30.1;;25.2;;56;16
1166;United Republic of Tanzania;2019;111;54.8;59.7;11;3.3;0.35;2577.7;1.75;1676;15.6;21;60.4;31.6;;26.2;;56;14
1167;United Republic of Tanzania;2020;111;54.4;59.7;11.3;2.6;0.36;2551.2;1.75;1678;12.7;17;60.7;31.8;;26.3;;57;11
1168;United Republic of Tanzania;2021;111;;;;;0.36;2581.7;1.75;1680;;19;;;;;;;11
1169;United Republic of Tanzania;2022;110;;;;;0.36;;1.75;1683;;;;;;;;;
1170;United States of America;2017;148;166.5;112;72;-20.8;0.17;59914.8;1.86;1957;35.8;9;99;99;96.8;98.3;1.5;24;8
1171;United States of America;2018;149;171;113.3;73;-22.8;0.17;61355.6;1.86;1958;26.5;9;99;99;97;98.3;1.5;24;8
1172;United States of America;2019;150;176.4;114.7;74.3;-23;0.17;62478.3;1.86;1958;25.6;12;99;99;97.1;98.3;1.5;24;8
1173;United States of America;2020;151;181.7;116.3;75.3;-23.2;0.17;60167.9;1.86;1959;34.9;18;99;99;97.3;98.3;1.5;24;8
1174;United States of America;2021;152;;;;;0.17;63669.7;1.86;1960;;15;;;;;;;9
1175;United States of America;2022;153;;;;;0.17;;1.86;1960;;;;;;;;;
1176;Uruguay;2017;131;105.9;83.7;44;-105.1;0.17;23107;2.55;1862;69.5;47;99;97.2;;;0.9;39;12
1177;Uruguay;2018;132;107.2;84;44.3;-109.9;0.17;23184.6;2.55;1864;64.8;44;99;97.5;;;0.9;39;13
1178;Uruguay;2019;134;111.2;87;47.7;-95.6;0.17;23256.6;2.55;1867;117.5;33;99;97.8;;;0.9;38;13
1179;Uruguay;2020;135;113.4;89;49.3;-113.1;0.17;21828.6;2.55;1870;113.9;10;99;98.1;;;0.9;38;14
1180;Uruguay;2021;137;;;;;0.17;22800.7;2.55;1874;;11;;;;;;;14
1181;Uruguay;2022;138;;;;;0.17;;2.55;1877;;;;;;;;;
1182;Uzbekistan;2017;136;90.3;99;41;20.2;0.23;6840.7;2.81;1836;20.7;36;97.8;99;58.9;;1;50;13
1183;Uzbekistan;2018;136;90.3;99.3;42;25;0.23;7082.9;2.81;1833;20.9;70;97.8;99;58.9;;1;50;13
1184;Uzbekistan;2019;136;90.5;100.4;43.3;26.4;0.23;7348.1;2.81;1830;22.1;77;97.8;99;58.8;;1.1;50;13
1185;Uzbekistan;2020;137;91.2;102.4;45;29.1;0.25;7344.2;2.81;1826;25.8;61;97.8;99;58.8;;1.1;50;14
1186;Uzbekistan;2021;138;;;;;0.26;7734.8;2.81;1824;;41;;;;;;;16
1187;Uzbekistan;2022;139;;;;;0.26;;2.81;1823;;;;;;;;;
1188;Vanuatu;2017;122;108;67;27;88.7;0.31;3031.2;1.66;1685;39.4;54;91.3;52.9;;;;48;146
1189;Vanuatu;2018;122;107.5;66.7;27;86.4;0.31;3045;1.66;1684;34.9;48;91.2;52.7;;;;49;124
1190;Vanuatu;2019;123;107.3;66.3;26.3;100;0.31;3070.4;1.66;1684;15.3;20;91.2;52.7;;;;49;127
1191;Vanuatu;2020;122;105.9;65;25.3;100;0.31;2836.8;1.66;1684;16.7;20;91.2;52.7;;;;50;120
1192;Vanuatu;2021;124;;;;;0.32;2783;1.66;1688;;27;;;;;;;140
1193;Vanuatu;2022;125;;;;;0.32;;1.66;1693;;;;;;;;;
1194;Venezuela (Bolivarian Republic of);2017;102;84;58.3;27.3;65.9;0.22;;2.32;1817;12;237;94.2;95.2;;22.4;;40;15
1195;Venezuela (Bolivarian Republic of);2018;96;79.4;53.7;23.7;62.4;0.22;;2.32;1814;14.5;249;94;95.4;;22.6;;40;13
1196;Venezuela (Bolivarian Republic of);2019;96;79.4;53.4;22.7;65.8;0.22;;2.32;1813;16.1;236;93.9;95.6;;22.9;;41;13
1197;Venezuela (Bolivarian Republic of);2020;96;80;52.6;23;61.2;0.24;;2.32;1814;10.9;132;93.7;95.8;;23.1;;40;16
1198;Venezuela (Bolivarian Republic of);2021;98;;;;;0.23;;2.32;1817;;136;;;;;;;27
1199;Venezuela (Bolivarian Republic of);2022;100;;;;;0.2;;2.32;1821;;;;;;;;;
1200;Viet Nam;2017;125;73.6;82.7;31.3;5.2;0.28;9050.7;2.15;1783;5.6;28;94.8;84.3;;;0.7;60;6
1201;Viet Nam;2018;126;75.5;84.3;32;8.4;0.28;9636;2.15;1783;7.2;16;95.5;86;;;0.7;59;6
1202;Viet Nam;2019;127;76.5;85.3;33;8.6;0.28;10252;2.15;1783;6.6;15;96.2;87.7;;;0.7;58;5
1203;Viet Nam;2020;129;78.5;86.7;34.3;10.3;0.29;10450.6;2.15;1783;6.3;8;96.9;89.2;;;1;56;5
1204;Viet Nam;2021;131;;;;;0.29;10628.2;2.15;1784;;17;;;;;;;6
1205;Viet Nam;2022;131;;;;;0.29;;2.15;1784;;;;;;;;;
1206;Yemen;2017;92;38;51.3;10;94.3;0.37;;2.56;1695;9.4;143;57.8;52.6;;18;;66;211
1207;Yemen;2018;91;38.7;50.7;9.7;96.3;0.37;;2.56;1698;10.4;132;58.8;53.1;;18.3;;66;236
1208;Yemen;2019;93;40;52;10;94;0.36;;2.56;1701;8.3;90;59.7;53.6;;18.6;;66;183
1209;Yemen;2020;95;42.4;53;10.7;92.8;0.37;;2.56;1704;6.5;44;60.7;54.1;;18.8;;65;232
1210;Yemen;2021;97;;;;;0.37;;2.56;1708;;82;;;;;;;259
1211;Yemen;2022;98;;;;;0.36;;2.56;1712;;;;;;;;;
1212;Zambia;2017;101;51;59;13.7;-23.9;0.36;3395.5;1.53;1700;16.4;13;63;30.6;;;0.2;70;5
1213;Zambia;2018;103;50.8;58.3;13.7;-9.7;0.37;3425.9;1.53;1704;17.7;20;63.8;31.1;;;0.2;71;4
1214;Zambia;2019;103;50.1;55.6;13.7;-1.9;0.37;3372.4;1.53;1708;16.9;21;64.6;31.5;;;0.2;72;4
1215;Zambia;2020;103;49.2;54.3;13;-0.1;0.37;3183.7;1.53;1713;15.7;21;65.4;31.9;;;;73;4
1216;Zambia;2021;102;;;;;0.37;3236.8;1.53;1716;;30;;;;;;;5
1217;Zambia;2022;101;;;;;0.33;;1.53;1720;;;;;;;;;
1218;Zimbabwe;2017;95;68.6;58;26;48;0.32;2331.8;2.13;1736;26.4;60;64;36.9;30;26.6;;53;25
1219;Zimbabwe;2018;94;66.9;57.7;25.3;35.3;0.32;2399.6;2.13;1739;19.7;53;63.5;36.4;29.8;26.3;0.8;53;20
1220;Zimbabwe;2019;92;63.6;55.6;25;56.9;0.31;2203.4;2.13;1743;5.6;22;63.1;35.8;29.7;26;0.8;53;13
1221;Zimbabwe;2020;91;63.3;54.7;24.7;60.3;0.31;1990.3;2.13;1747;5.6;20;62.7;35.2;29.5;25.7;0.8;53;14
1222;Zimbabwe;2021;91;;;;;0.31;2115.1;2.13;1750;;21;;;;;;;15
1223;Zimbabwe;2022;91;;;;;0.29;;2.13;1755;;;;;;;;;
;200;;;;;;;;;;;;;;;;;;;
