;Area;Year;Average dietary energy supply adequacy (percent) (3-year average);Average fat supply (g/cap/day) (3-year average);Average protein supply (g/cap/day) (3-year average);Average supply of protein of animal origin (g/cap/day) (3-year average);Cereal import dependency ratio (percent) (3-year average);Coefficient of variation of habitual caloric consumption distribution (real number);Gross domestic product per capita, PPP, (constant 2017 international $);Incidence of caloric losses at retail distribution level (percent);Minimum dietary energy requirement  (kcal/cap/day);Per capita food production variability (constant 2014-2016 thousand int$ per capita);Per capita food supply variability (kcal/cap/day);Percentage of population using at least basic drinking water services (percent);Percentage of population using at least basic sanitation services (percent);Percentage of population using safely managed drinking water services (percent);Percentage of population using safely managed sanitation services (percent);Rail lines density (total route in km per 100 square km of land area);Share of dietary energy supply derived from cereals, roots and tubers (percent) (3-year average);Value of food imports in total merchandise exports (percent) (3-year average)
163;Bulgaria;2018;113;97.4;84.3;41;-195.2;0.19;22206.2;1.5;1912;22.7;42;99;86;97.5;68.6;3.6;41;9
164;Bulgaria;2019;114;105;83;42;-160.5;0.19;23266.1;1.5;1912;14.8;39;99;86;97.5;70.4;3.6;39;9
165;Bulgaria;2020;116;115.8;80.7;41.7;-268.8;0.21;22479.6;1.5;1912;13.8;26;99;86;97.6;72.2;3.6;36;10
166;Bulgaria;2021;117;;;;;0.2;24393.8;1.5;1912;;14;;;;;;;10
167;Bulgaria;2022;119;;;;;0.2;;1.5;1913;;;;;;;;;
168;Burkina Faso;2017;120;63.8;79;11;10.4;0.34;1978.2;1.63;1721;9.2;17;49;20.6;;;0.2;64;15
169;Burkina Faso;2018;120;63.7;79;11;10.9;0.34;2051.2;1.63;1725;18.8;26;48.4;21;;;0.2;65;14
170;Burkina Faso;2019;120;65;84.1;14.1;9.1;0.34;2110.1;1.63;1729;17;19;47.8;21.3;;;0.2;62;13
171;Burkina Faso;2020;120;66.1;89.1;16.4;6.4;0.37;2093.7;1.63;1733;17.8;18;47.2;21.7;;;0.2;59;11
172;Burkina Faso;2021;120;;;;;0.37;2179.8;1.63;1737;;27;;;;;;;10
173;Burkina Faso;2022;120;;;;;0.37;;1.63;1741;;;;;;;;;
174;Burundi;2017;;15.2;39.7;2;23.9;0.28;750.8;1.51;1642;19.7;;60.8;45.8;;;;64;70
175;Burundi;2018;;15.3;40.7;2;25.6;0.28;740.4;1.51;1648;16.8;;61.5;45.8;;;;64;74
176;Burundi;2019;;15.5;41.3;2.3;26;0.28;729.7;1.51;1655;11.5;;62.1;45.7;;;;64;74
177;Burundi;2020;;15.7;41;2.3;22.9;0.28;711.4;1.51;1661;15.4;;62.2;45.7;;;;64;73
178;Burundi;2021;;;;;;0.28;705;1.51;1667;;;;;;;;;77
179;Burundi;2022;;;;;;0.28;;1.51;1673;;;;;;;;;
180;Cabo Verde;2017;99;65;69.7;26;98;0.26;6320.3;1.85;1863;2.8;12;87.1;74.1;;;;52;
181;Cabo Verde;2018;100;65.5;70.3;25.7;98.6;0.26;6534.5;1.85;1865;3;7;87.6;75.8;;;;53;
182;Cabo Verde;2019;101;65.3;71;25.3;100;0.25;6835.1;1.85;1867;7.9;27;88.2;77.5;;;;52;365
183;Cabo Verde;2020;102;67.5;71;24.7;100;0.25;5768.5;1.85;1868;8.6;37;88.8;79.1;;;;52;350
184;Cabo Verde;2021;102;;;;;0.25;6114.1;1.85;1870;;38;;;;;;;389
185;Cabo Verde;2022;101;;;;;0.25;;1.85;1870;;;;;;;;;
186;Cambodia;2017;117;37.7;65;18.7;-7;0.23;3972.7;2.9;1773;21.8;29;69.7;59.3;26;;;69;6
187;Cambodia;2018;118;38;65.7;19;-7;0.23;4217.6;2.9;1775;13.9;24;70.3;62.5;26.6;;;69;6
188;Cambodia;2019;120;38;65;19;-6.7;0.23;4464.3;2.9;1776;9.4;27;70.8;65.6;27.2;;;69;6
